REVIEWER,REVIEW_DATE,REVIEW_DURATION,REVIEW,1 NAME,RATING,NO OF STARS,PRICE,AMENITY 1,AMENITY 2,AMENITY 3,AMENITY 4,HNO
subhclt,01-May,7 years ago on,I booked through agoda as triple room was listed through only through agoda. The place is both good bad due to busy area. the road is cramped with vehicles all the way. Reception was full of foul smell not very appealing. They messed up the …,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
palani kumar,04-May,3 years ago on,"After the review they called me and explained their concerns. 4 ratating for their honesty. Please make sure heater, toliet flush are in working condition before  giving the room to customers.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
sankar A,01-May,a year ago on,Very very Very worst 1…he inform front desk no smoking and no alcohol but all people inside the room smoking and alcohol…and front desk person very rudely speak…he need only cost…inside the room TV not working and room is not cleaning…,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Vijay Kumar,05-May,6 years ago on,"Comfortable stay cool place,room n amenities r good, complementary buffet breakfast super, staff and manager's are good, very good receiving well taking care about our stay in 1. Food service and taste is good, and this 1 is very near to everything in tambaram...",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Harish Vashishtha,04-May,4 years ago on,"Cozy rooms. Right in the heart of Tambaram. All amenities like supermarket, fruit shops, restaurants are nearby. You can get cab easily. The service inside the 1 is average. Price is a bit high compared to the quality of the rooms.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Rampaul.A Rampaul.A,05-May,a year ago on,"Room was neat and clean.
Fo desk well behaviour. 100 percent
I will recommend other people.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Syed,04-May,4 years ago on,"Room size small for double bedroom, bathroom fittings dirty and flimsy. Otherwise a great place to stay close to Tambaram railway station. Great service. Not many items to choose from the menu though.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Chakradhar Bandlamoori,04-May,2 years ago on,"Decent place within budget range and very close to Tambaram railway station. There were too many mosquitoes in the room, other than that everything else was good.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Vijay Ganesh N,04-May,6 years ago on,Located close to Tambaram railway station. Clean but small rooms. Good for overnight stays during short visit to the city. Helpful front desk and service. Food could have been better.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
M. Raj Mohan,05-May,6 years ago on,Have checked in for a day. They give 12-12 check in check out to MMT customers. The direct booking customers get 24 hr check out. Rooms were neatly maintained. Served Complimentary South Indian breakfast was good in taste.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
M Santhanam,04-May,5 years ago on,"Best suited budget 1 in Tambaram.
Very near to bus stand and walkable distance  to Railway station. Land Mark is passport seva kendra opposite. They have a small function hall is neatly maintained.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
bharath nahar,05-May,a year ago on,Happy with the room ambience.. Was easy to find the 1.. Decent reception staff.. All in all.. A far better choice than booking oyo,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
RAVI,05-May,3 years ago on,"Excellent service provided by the staff...i request higher authority to increase salary of the employees...staff is very prompt, cooperative, professional and most importantly humble. Good wishes to all the employees of 1 GrandPark.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Mridul Mishra,05-May,6 years ago on,"A very clean, conveniently located , walking distance from Tambaram Railway station and bus stop. Rents are nominal and include breakfast, toilet kit , a water bottle etc. Such small gestures makes huge difference.. keep it up",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Srikanth T S,03-May,a year ago on,"Pretty old utilities. Atleast they shall take some care in replacing old taps etc., Poor plumbing conditions. Otherwise good stay. Lot of good alternatives are there as well.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Puru Naidu,05-May,5 months ago on,"Rooms need more cleaning
Bathrooms are slippery, be careful",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
LAKSHMINARASIMHAN,04-May,4 years ago on,"I was in room 201. 
Positive things
1. Good room service. …",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
GIRISH KATARI,01-May,5 years ago on,"Rooms are small, few breakfast items not testy, I dont recomand for family with child.
Cost is high compare to Bangalore.
Hospitality is so good. Security nice.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Manikandan CS,05-May,4 months ago on,Small and spacious Room nearby busstop.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Ashish,01-May,4 years ago on,The room was simply a breeding ground for mosquitoes! had booked a room for a few hours of sleep before a flight & thanks to the unhygienic conditions & breeding mosquitoes I couldn't even sleep for one hour at a stretch! Such a waste of …,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Narayanan P,02-May,10 months ago on,"Very small room they not answer any questions, cleaning is very poor very bad smell",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Raja Krishnamoorthy,04-May,6 years ago on,Value for money. Polite and helpful staff. Only drawback is there is no attached restaurant and so either the guests should order food to their rooms (except the complimentary breakfast which is served in the party hall) or go out to eat.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
yash jain,03-May,2 years ago on,1 is nice and it is nearer to airport. Cost wise also good. But they were not cleaning the rooms daily. ( It can be due to covid),1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
SRI GANESH ACHAGAM,01-May,3 years ago on,"I experienced some inconvenience. Booked room before 5 days through phone. They have asked to pay on my visit to room. Even on morning I have checked with them, but when I reached there at night, they said there is no vacancy and the room is not booked. In that night I find difficult to book room in another 1.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Kireek Venky,05-May,a year ago on,Yaa this 1 is near thabharam railway station west geat  and out station bus boarding point.best cost.and rooms will be Good.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Inoventive Filaments Pvt Ltd,01-May,5 months ago on,"Air conditioner not working,intercom not working, service slowest.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Rajnikant,05-May,4 years ago on,"Good place to stay in Tambaram. Great location. Very near to the bus stand, train station and a2b restaurant 😊.
Hot water was available all the times. …",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Almond Syiem,05-May,5 years ago on,Smallish rooms but clean and well maintained. Very cordial and helpful staff including the folks at the reception. Good south Indian breakfast and prompt servicing.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
vel murugan,04-May,10 months ago on,Near to tambaram bus stand.. rooms are good and clean... great value for money,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Goldwin,04-May,5 years ago on,"- 1 location- good
- Rooms were a bit small too closely packed, yet there were no issues
- Fast WiFi …",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
rakshith kannan,02-May,4 years ago on,Not worth the price. Room is decent. No cloth hanger in the bathroom. If price could be reduced then the property is worth it. Otherwise its in a prime location to tbm railway station.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
ANAZ,01-May,2 years ago on,Worst serives  i booked a 3 member room but they gave only  twine bed member room but charges for 3 member and  that night fully i sleep on the floor plz ask there before Booking they also tell i am not responsible for this ask online application,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
SHAIK,04-May,a year ago on,Its good place near to railway station and busstand. Rooms are small over all for the tariff it is good place.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Venkat D,03-May,2 years ago on,"Room was small,rest room is average, but near to bustand and railway station...for the same money we can find better one ,goibibo 1700/- with tax",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Balasubramanian T V,01-May,3 years ago on,"Room was not clean, bed, pillow and blanket are not clean & had cigarette smell.  So many musquitos.  AC and water heater was not working. …",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Shweta Gupta,05-May,2 years ago on,The place is good. Staff is very familier and helpful. Service is good. They must start restaurant. I will definitely stay here in my next visit,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Madhan king,01-May,4 years ago on,"Very poor service from management, they promised to give breakfast, Which was not provided. Staff mr.suresh very unprofessional and un respectful don’t know how to handle simple situations by giving other alternative solution.please be …",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Anurag kumar,01-May,2 years ago on,"Worest 1, they charge hight ammount, but facility is very low, toilet are so dirty and room are so congested, I never go there, fan noisy, maintenance no",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Upasana Ganesh,04-May,a year ago on,"Very courteous staff, very flexible with the room booking. The front desk people are nice and they pay heed to every request.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Nived Varma,02-May,5 years ago on,"The 1 is average. Rooms are very small,  toilets are really bad you cannot sit in the toilet. They don't have kitchen and not tea coffee in the room. The A/C remotes don't work. Complimentary breakfast is pathetic.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Jayakumar,04-May,6 years ago on,"value for money 1, tucked inside Tambaram, you may find it difficult to locate , if you don't turn on your google map. basement car parking to accommodate 5 to 6 cars. very basic breakfast.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Tushar Gupta,04-May,4 years ago on,Very good place with great service and staff. Customer service is also very good. The only problem i faced was a not so good washroom like the had bath tub but water wont come and the flush was also not working,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Bachi Reddy,03-May,a year ago on,"Its very near to passport seva kendram.
book the  1 directly it will cost only 1000rs+ otherwise  if in online it will be 1800rs.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
R.saravana kumar,04-May,4 years ago on,Room is neat and clean. Room service is good. But lot of cockroaches in a bedroom and toilet. Toilet should have ventilation exhaust.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
agoramoorthy,04-May,3 years ago on,"1 is located in the prime area, very near to tambaram railway station and bus stand, everything was good in the 1 but the only drawback was morning breakfast,must be improved in future. Very much value for money",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
RAJARATHNAM PASUPATHY,04-May,3 years ago on,I have attended a small function today. The hall and seating arrangements are good.The toilet and washbasin can be kept more clean and hygenic,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
balaramani H,05-May,a year ago on,Best place for stay great staffand response price slightly high per day but ok they provide Ac room 👍 great space.. …,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Pournami Kumar,01-May,8 months ago on,Very small room..felt unhygienic and also the room was very smelly,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
vijaya kumar kuppan,04-May,6 years ago on,"Plus:
Good for overnight stay and for business trips
Compact rooms with necessary basics …",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Sridhar Palicherla,02-May,7 years ago on,"I stayed on 3/01/2017 with my family.Only interior decoration and the place is convenient.No restaurant is attached.,food they bring from outside is not hygenic.Room space is very congested.Even coffee is not served in morning before 8AM.Reception is not polite.near by 1s are good.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
LLOYD,03-May,5 years ago on,"Rooms are adequately Spacious, staff hospitality and breakfast was overall good. Centrally loxated if you have work in and around Tambaram with bus and train connectivuty just walk away from this place.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Dinesh H,05-May,6 years ago on,"Room was clean, enough spacious. Complementary wifi was having good speed. Complimentary breakfast was also not bad.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Ajit Jaiswal,03-May,4 years ago on,"Space wise, room is okay for two persons, but washroom is not quite good, moreover in complementary breakfast one will be served only south indian food.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Muthukumar,05-May,5 years ago on,"Had a pleasant stay....Only thing is they frequently remind us the check out time...my question is if at all we remain staying there even after check out time, pls charge accordingly and don't frequently disturb the customers.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
GANESH KUMAR,02-May,2 years ago on,"This 1 room is not clean. Lots mosquitoes, AC was making lots noise and no cooling. Water heater was not working. I don't recomed this 1.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Abinaya M C,03-May,2 years ago on,"I won't say it is the best 1, the rooms sure need some maintenance and better cleaning. In total quite an average 1",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Atul A,04-May,7 years ago on,"1 is new i.e couple of months old..Services  still to improve a lot...Rooms are small but well furnished, clean and comfortable with good  Cooling to fight the heat of Chennai with good WiFi speed ||||No Freeze and electric cattle in Room ,Complimentary Breakfast was there but cold no hot burner were used ...total wastage",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Jawed Manzoor,02-May,a year ago on,This is a never ever go again place. Rooms are smelly. Cockroaches everywhere. Washrooms are dirty. No facility of kitchen.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Chethan,04-May,3 years ago on,"Nice 1, it will be more good, if it has a reataurant . Nearer to bus stand and railway station. Also nearer to Chennai airport. Overall it is a good 1",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Muthu Kumar,01-May,a year ago on,If there is any negative stars I would give that. Very worst experience... Rooms are filled with cockroach and mosquito. No cleanliness... Worst maintenance..,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Athimoolam,04-May,4 years ago on,"Strategic location,underground car parking space,close to good restaurants are the plus points of this cute 1.Absence of even a small pantry inside starves you when in need.Wonder why they can't provide a nice original tea while calling themselves a business class 1.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Gauransh Jaroli,04-May,4 months ago on,All over it was a good experience for me.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Roy Raj,05-May,a year ago on,Room was neat and clean .front desk very well behaviour.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Radhika,05-May,a year ago on,"Good rooms, staff polite, outside food allowed, restaurants near by, checkin and out fast. Prime location.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Raghesh,05-May,3 years ago on,very comfortable stay good location and cleanliness of entire area of 1 is superb. I recommend Grand Parkway to everyone,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Sushant,05-May,4 years ago on,"It was a great experience staying in Grand Parkway. It was more than my expectations at the rate charged. Rooms are very neat and clean, staff is very professional.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Rehan,05-May,4 years ago on,The place is amazing. The rooms are business class and comfortable. Their suit rooms are spacious and cozy. One must definitely visit this place!,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Nagaraj Alur,05-May,5 years ago on,"Nice place to stay, reasonable price, clean. They offer morning tiffin for the same proce, even the food also good. Nice stay in tambaram.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Brian Dominic,03-May,5 years ago on,"The ground floor party hall is apt fr a small gathering of 30-50 people and is very beautifully decorated ,sound proofed and above all good service.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Shajanbha,05-May,3 years ago on,"nice,neet and clean 24 hours hot water and also room service is best.
near agarwal eye hospital opposite passport office.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Thomas,04-May,3 years ago on,It a good one 1. And also very nearest railway station Tambaram. Early chech in no problem because i was came at 4:30am.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Sajinbran Sajin,01-May,a year ago on,"Bad experience ... Never book anyone here ... Very small rooms, dirty bathroom, business class by name only …",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Suresh,05-May,3 years ago on,Good and neat room. Easily accessible and courteous staff. Had a good experience. Walkable distance from Tambaram Railway station.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Premkumar K R,02-May,2 years ago on,"Very small size rooms,  Noisy ceiling fan, mosquitoes kingdom, non- maintained toilets, damaged (but not repaired) doors and almirah, and so on....",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Venkata Sape,05-May,4 years ago on,"Nice and comfortable stay at an affordable price. 1 is near Passport Office, if you are taking local autos. Breakfast is OK.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Vishwapriya,01-May,a year ago on,It was horrible. Those reception people (two north india guys) they will abuse you in Hindi. Never ever go to this place,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Allwin M,04-May,6 years ago on,"Decent 1 for decent price at this locality, if you are looking for much spacious room and for long stay, this must not be your choice.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
HIMANSHU,05-May,9 months ago on,"Great experience, but the working conditions of A/Cs should be improved",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Bandaru,05-May,5 years ago on,"very much comfort in chennai, breakfast &roomservice &infrastructure is also very good we thank full to u for providing all these facilities in reasonable prices",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
SHOVIN BHATTACHARJEE,01-May,4 years ago on,Horrible 1..... Very dirty. Middle of the night 1 stuff nocked at my door like any thing..... I m not able to recommend this 1 through out my life.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Manisha Thiyagarajan,05-May,3 years ago on,We had our daughter's birthday function at their party hall..  Good service and Food.. Decoration was also good..,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Perumalrv Veeria,01-May,a year ago on,"Worst , no room service, waste of money,not suitable",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Kanagaraj Ramakrishnan,05-May,a year ago on,Room was very clean. Ambience also good. Service also very good.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
M.S creation point Bls,05-May,a year ago on,"Good rooms .front desk very well
Manage to the guest.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Thangavel RakiyaGounder,01-May,5 years ago on,"Stayed on 22nd Jan 19 just for refreshing,it's pathetic experience,rooms were adoring and bathroom is too small
My stay at 1 few hrs,but very bad experience,other than that staffs are …",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Vinod,05-May,4 years ago on,Excellent 1. Neat and Clean. Fully Satisfied. Near to Tambaram railway station. Professional and friendly staff.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
sheeba sunil,05-May,3 years ago on,"Excellent receptionists (All three)
Room service boys are very polite and respectful
Overall service is excellent Early check in flexible",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Meeran Moideen,05-May,a year ago on,Room was neat and clean.Govind and his  staff doing well,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Srusti Prasad Ojha,05-May,a year ago on,It’s Was an amazing stay and special thanks to Ram and Govind for an amazing service.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
soundar Rajan,04-May,5 years ago on,Nice welcome and hospitality. breakfast is average. poor Room service. Totally OK.....,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Ashok Kumar,05-May,4 years ago on,Location is nice. Attitude of the staff is good too. Nice place to stay in a budget.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Preethi B,05-May,3 months ago on,Nice party place at tambaram,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Mani Kandan,05-May,2 years ago on,Good condition rooms and amenities. Affordable rates for rent. Easy Accessible to public transportation.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Rohan Mathews,05-May,5 years ago on,"I must say, this 1 is remarkably close to west tambaram station, has a reliance fresh right opp to it and best of all the staff is very friendly.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
SHUNMUGA,04-May,a year ago on,reasonable and low budget 1 near thambaramgood stay. low budget. rooms are neat,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Srikanth R,02-May,4 years ago on,Very small rooms almost like a store room. Front office staff not at all flexible. Very strict with their rules but without any decent facilities. Not recommended,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Raju Chatrapati C,02-May,4 years ago on,Not worth for money. They show something in their website. But actually it is different. The rooms are not clean,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Manikandan Saravanan,03-May,a year ago on,Very small rooms. Not so clean,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Manoj Jayan Kamaraj,05-May,2 years ago on,Room size is small for this price. But still it's worth because of its main location in Tambaram..,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Chandana,02-May,5 years ago on,"It's very nearer to Railway Station, the only reason I was choosing ,rooms are very small ,not worth while, bathrooms are very small ,breakfast also so so, make my trip booking 1700is lower than direct booking 2000",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Deepan Kumar,03-May,4 years ago on,Very small rooms. Food services not good. Ok for passing travellers. Not suitable for staying more than one night,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Krisssh R,03-May,4 years ago on,"This 1 is located near West Tambaram.1 Stay is good,rooms are Clean.But they don't have a restaurant here.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
BENZON JOHN,02-May,5 years ago on,Not a good 1.... It's too congested... Doesn't give a pleasant feeling overall,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Balaji Vijayakkumar,04-May,6 years ago on,Good stay. Booked via OYO Rooms. Found accomodation satisfactory... Good for business accomodation,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Abdul Thoufiq,05-May,5 years ago on,Walkable datnce to tambaram bus stop.Delecious breakfast nice room service over all better place to stay...,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
K Muthukumar,04-May,2 years ago on,"A good place to stay.
Need improvement on Room Service.",1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Gokula Krishnan V,05-May,4 years ago on,The place is good with a good Ambience.. the rooms are very good and has been maintained well,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Nilavazhagan E,05-May,5 years ago on,Excellent Service. Receptionist was very much responsible. nice place to Stay.,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
baskar a,01-May,4 years ago on,1 first quality but don't eat food this 1 . Waste of money and definitely u lose ur health..,1 Grand Parkway,3.8,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking,6
Resort64739122889,05-May,3 weeks ago on,"The staff treated us very well. Neat and clean room. Nice food. Toilets are also clean.well maintained . pillows and bed is very smooth. Each room has a small refrigerator   ,iron box with table,usb fast charger 4 sockets , carpets,in hot/cold water facility.","SRM 1 Maraimalai Nagar, Chennai",3.9,3,5017,Pool,Free parking,Free breakfast,Free Wi-Fi,7
Traveler09354876104,05-May,3 weeks ago on,"Very good hospitality we could notice from each individual from your SRM 1 team. Really amazing experience. Room were neatly maintained. Every bit of moments we enjoyed. Food varieties really fine, food taste is also fine. Water service is very very good.","SRM 1 Maraimalai Nagar, Chennai",3.9,3,5017,Pool,Free parking,Free breakfast,Free Wi-Fi,7
Companion01261280860,05-May,a month ago on,"1 with neat and clean large room at affordable price tag at GST road. Excellent response from front desk team members Eswari, Jasmine, Dyan, Parul , Ramesh and Neelakandan. We booked 30 rooms and stayed for 3 nights. The whole team took good care of us. BOG Thank you to Team SRM 1.","SRM 1 Maraimalai Nagar, Chennai",3.9,3,5017,Pool,Free parking,Free breakfast,Free Wi-Fi,7
Dasari A,05-May,a month ago on,A nice pleasant stay.Mr Rajesh in the dining area is super friendly and attentive.Would recommend this place totally What else you need in a 1 .... excellent location  Excellent ambiance... Excellent Rooms ( Value for money ) ... …,"SRM 1 Maraimalai Nagar, Chennai",3.9,3,5017,Pool,Free parking,Free breakfast,Free Wi-Fi,7
Naveen K,05-May,a month ago on,Excellent Stay in SRM 1. Hospitality was really good. Receptionsits and the manager was so humble. The room was maintained really clean and tidy. Room service was really good. Food was really good. I wish all the best.,"SRM 1 Maraimalai Nagar, Chennai",3.9,3,5017,Pool,Free parking,Free breakfast,Free Wi-Fi,7
